# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ASCC2	ASCC2	NM_001369941.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369942.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369943.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369944.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369945.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369946.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369947.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369948.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369949.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_001369950.1	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASCC2	ASCC2	NM_032204.5	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASPHD2	ASPHD2	NM_020437.5	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ATP5MGL	ATP5MGL	NM_001165877.1	protein_coding	0	0	0	4	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ATP6V1E1	ATP6V1E1	NM_001039366.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ATP6V1E1	ATP6V1E1	NM_001039367.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ATP6V1E1	ATP6V1E1	NM_001696.4	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
BAIAP2L2	BAIAP2L2	NM_025045.6	protein_coding	0	0	2	16	0	0	1	0	1	0	0	3	0	11	1	0	0	0	0	0	0	1
BCL2L13	BCL2L13	NM_001270726.1	protein_coding	0	1	0	5	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	1	0
BCL2L13	BCL2L13	NM_001270727.1	protein_coding	0	1	0	5	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	1	0
BCL2L13	BCL2L13	NM_001270728.1	protein_coding	0	0	0	6	1	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_001270729.1	protein_coding	0	1	0	5	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	1	0
BCL2L13	BCL2L13	NM_001270730.1	protein_coding	0	1	0	5	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	1	0
BCL2L13	BCL2L13	NM_001270731.1	protein_coding	0	1	0	5	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	1	0
BCL2L13	BCL2L13	NM_001270732.1	protein_coding	0	0	0	6	1	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_001270733.1	protein_coding	0	0	0	4	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_001270734.1	protein_coding	0	0	0	6	1	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_001270735.1	protein_coding	0	0	0	6	1	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_001363824.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
BCL2L13	BCL2L13	NM_015367.4	protein_coding	0	1	0	5	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	1	0
BCL2L13	BCL2L13	NR_073068.1		0	0	0	6	0	0	0	0	0	0	0	3	0	2	0	1	0	0	0	0	0	0
BCL2L13	BCL2L13	NR_073069.1		0	0	0	6	0	0	0	0	0	0	0	3	0	2	0	1	0	0	0	0	0	0
BCR	BCR	NM_004327.4	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
BCR	BCR	NM_021574.3	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
BID	BID	NM_001196.3	protein_coding	0	0	0	11	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
BID	BID	NM_001244567.1	protein_coding	0	0	0	11	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
BID	BID	NM_001244569.1	protein_coding	0	0	0	11	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
BID	BID	NM_001244570.1	protein_coding	0	0	0	11	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
BID	BID	NM_001244572.1	protein_coding	0	0	0	11	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
BID	BID	NM_197966.2	protein_coding	0	0	0	11	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
BID	BID	NM_197967.2	protein_coding	0	0	0	11	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0
BIK	BIK	NM_001197.5	protein_coding	0	0	0	9	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0
BMS1P17	BMS1P17.3	NR_073460.1.3		0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
BMS1P18	BMS1P18.3	NR_073459.1.3		0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
BMS1P20	BMS1P20	NR_027293.2		0	0	0	8	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	1
BMS1P22	BMS1P22.3	NR_133911.1.3		0	0	0	19	0	0	0	0	0	0	0	0	0	18	0	1	0	0	0	0	0	0
BPIFC	BPIFC	NM_174932.2	protein_coding	0	0	2	5	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0
BRD1	BRD1	NM_001304808.3	protein_coding	0	1	0	7	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	1	0
BRD1	BRD1	NM_001304809.1	protein_coding	0	1	0	7	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	1	0
BRD1	BRD1	NM_001349940.1	protein_coding	0	1	0	7	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	1	0
BRD1	BRD1	NM_001349941.1	protein_coding	0	1	0	7	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	1	0
BRD1	BRD1	NM_001349942.1	protein_coding	0	1	0	8	0	1	1	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0
BRD1	BRD1	NR_146334.1		0	0	0	8	0	0	0	0	0	0	0	1	0	6	0	1	0	0	0	0	0	0
BRD1	BRD1	NR_146335.1		0	0	0	8	0	0	0	0	0	0	0	1	0	6	0	1	0	0	0	0	0	0
C1QTNF6	C1QTNF6	NM_001365878.1	protein_coding	0	1	1	5	1	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	0
C1QTNF6	C1QTNF6	NM_031910.4	protein_coding	0	1	1	5	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	1
C1QTNF6	C1QTNF6	NM_182486.2	protein_coding	0	1	1	5	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	1
C22orf15	C22orf15.2	NM_001331041.1	protein_coding	0	0	0	8	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0
C22orf15	C22orf15.2	NM_182520.2.2	protein_coding	0	0	0	8	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0
C22orf23	C22orf23	NM_001207062.1	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C22orf23	C22orf23	NM_032561.5	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C22orf31	C22orf31	NM_015370.1	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
C22orf34	C22orf34	NM_001289922.3	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
C22orf34	C22orf34	NR_110522.2		0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
C22orf34	C22orf34	NR_110523.2		0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
C22orf42	C22orf42	NM_001010859.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C22orf46	C22orf46	NR_160905.1		0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
CABIN1	CABIN1	NM_001199281.1	protein_coding	0	1	0	10	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	1	0
CABIN1	CABIN1	NM_001201429.1	protein_coding	0	1	0	10	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	1	0
CABIN1	CABIN1	NM_012295.4	protein_coding	0	1	0	10	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	1	0
CABP7	CABP7	NM_182527.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CACNA1I	CACNA1I	NM_001003406.2	protein_coding	0	4	1	14	0	0	0	0	0	0	0	0	0	15	1	0	0	1	0	0	3	0
CACNA1I	CACNA1I	NM_021096.4	protein_coding	0	4	1	14	0	0	0	0	0	0	0	0	0	15	1	0	0	1	0	0	3	0
CARD10	CARD10	NM_014550.4	protein_coding	0	2	1	13	0	0	0	1	0	0	0	0	0	13	0	0	0	0	0	0	2	0
CASTOR1	CASTOR1	NM_001037666.2	protein_coding	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CBX7	CBX7	NM_001346743.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
CBX7	CBX7	NM_001346744.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
